n.title,n.tagline,n.released
The Matrix Revolutions,Everything that has a beginning has an end,2003
The Devil's Advocate,Evil has its winning ways,1997
A Few Good Men,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",1992
Top Gun,"I feel the need, the need for speed.",1986
Jerry Maguire,The rest of his life begins now.,2000
Stand By Me,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",1986
As Good as It Gets,A comedy from the heart that goes for the throat.,1997
What Dreams May Come,After life there is more. The end is just the beginning.,1998
Snow Falling on Cedars,First loves last. Forever.,1999
You've Got Mail,At odds in life... in love on-line.,1998
Sleepless in Seattle,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",1993
Joe Versus the Volcano,"A story of love, lava and burning desire.",1990
When Harry Met Sally,Can two friends sleep together and still love each other in the morning?,1998
That Thing You Do,In every life there comes a time when that thing you dream becomes that thing you do,1996
The Replacements,"Pain heals, Chicks dig scars... Glory lasts forever",2000
RescueDawn,Based on the extraordinary true story of one man's fight for freedom,2006
The Birdcage,Come as you are,1996
Unforgiven,"It's a hell of a thing, killing a man",1992
Johnny Mnemonic,The hottest data on earth. In the coolest head in town,1995
Cloud Atlas,Everything is connected,2012
The Da Vinci Code,Break The Codes,2006
V for Vendetta,Freedom! Forever!,2006
Speed Racer,Speed has no limits,2008
Ninja Assassin,Prepare to enter a secret world of assassins,2009
The Green Mile,Walk a mile you'll never forget.,1999
Frost/Nixon,400 million people were waiting for the truth.,2008
Hoffa,He didn't want law. He wanted justice.,1992
Apollo 13,"Houston, we have a problem.",1995
Twister,Don't Breathe. Don't Look Back.,1996
Cast Away,"At the edge of the world, his journey begins.",2000
One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?",1975
Something's Gotta Give,null,2003
Bicentennial Man,One robot's 200 year journey to become an ordinary man.,1999
Charlie Wilson's War,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,2007
The Polar Express,This Holiday Season… Believe,2004
A League of Their Own,Once in a lifetime you get a chance to do something different.,1992
The Matrix,Welcome to the Real World,1999
The Matrix Reloaded,Free your mind,2003
